Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1513,Plant,Picea abies,220263.902,16540.99906,Cannell (1982).   Page 29; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,               
1514,Plant,Picea abies,415909.0909,17954.54545,Cannell (1982).   Page 224; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,               
1515,Plant,Picea abies,1026666.667,27733.33333,Cannell (1982).   Page 73; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,               
1516,Plant,Picea rubens,23901.52352,495.694414,Cannell (1982).   Page 43; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,"with Picea mariana, Picea glauca, Abies balsamea, Tsuga canadensis et al.    "
1517,Plant,Picea rubens,45092.11719,1507.097554,Cannell (1982).   Page 43; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,"with Picea mariana, Picea glauca, Abies balsamea, Tsuga canadensis et al.    "
1518,Plant,Picea rubens,60634.18407,2412.993039,Cannell (1982).   Page 43; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,"with Picea mariana, Picea glauca, Abies balsamea, Tsuga canadensis et al.    "
1519,Plant,Picea rubens,184828.7113,3778.140294,Cannell (1982).   Page 43; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,"with Picea mariana, Picea glauca, Abies balsamea, Tsuga canadensis et al.    "
1520,Plant,Picea sitchensis,34817.91983,9214.042442,Cannell (1982).   Page 242; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,               
1521,Plant,Pinus nigra,67298.5782,5270.14218,Cannell (1982).   Page 246; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Pinus,var. maritima              
1522,Plant,Pinus nigra,75402.8436,7957.345972,Cannell (1982).   Page 246; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Pinus,var. maritima              
1523,Plant,Pinus nigra,77535.54502,8848.341232,Cannell (1982).   Page 246; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Pinus,var. maritima              
1524,Plant,Pinus nigra,77677.72512,8729.85782,Cannell (1982).   Page 246; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Pinus,var. maritima              
1525,Plant,Pinus nigra,84619.04762,9014.285714,Cannell (1982).   Page 246; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Pinus,var. maritima              
1526,Plant,Pseudotsuga menziesii,2169124.424,123041.4747,Cannell (1982).   Page 29; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Pseudotsuga,with a few Fagus sylvatica           
1527,Plant,Tsuga sieboldii,277393.0754,1330.617787,Cannell (1982).   Page 186; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Tsuga,with a few Pinus densiflora and Chamaecyparis obtusa and deciduous and evergreen broadleaved understorey trees.
1528,Plant,Tsuga sieboldii,1228000,10442.10526,Cannell (1982).   Page 186; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Tsuga,with a few Pinus densiflora and Chamaecyparis obtusa and deciduous and evergreen broadleaved understorey trees.
1529,Plant,Sasa kurilensis,84.363636,58.181818,Cannell (1982).   Page 121; cited in Niklas & Enquist 2004,Broadleaf,Poales,Poaceae,Sasa,               
1530,Plant,Aesculus octandra,398620.6897,8827.586207,Cannell (1982).   Page 250; cited in Niklas & Enquist 2004,Broadleaf,Sapindales,Sapindaceae,Aesculus,"(40%) [a], Tilia heteroophylla (26%) [a], Prunus serotina (16%) [a] et al."
1531,Plant,Dacryodes klaineana,1973584.906,50905.66038,Cannell (1982).   Page 91; cited in Niklas & Enquist 2004,Broadleaf,Sapindales,Burseraceae,Dacryodes,"Strombosia glaucescens, Allanblackia sp., Coula sp., Diospyros sp., et al.     "
1532,Protist,Gonyaulax tamarensis,1.34E-08,1.02711E-06,Tang 1995,Protist,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Temp: 5 deg C
1533,Protist,Gonyaulax tamarensis,1.34E-08,1.90749E-06,Tang 1995,Protist,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Temp: 8 deg C
1534,Protist,Gonyaulax tamarensis,1.34E-08,2.9346E-06,Tang 1995,Protist,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Temp: 15 deg C
1535,Protist,Gonyaulax tamarensis,1.34E-08,2.98351E-06,Tang 1995,Protist,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Temp: 20 deg C
1536,Protist,Paraphysomonas imperforata,2.6E-10,5.694E-07,Rose & Caron 2007,Stramenopiles,Chromulinales,Paraphysomonadaceae,Paraphysomonas,
